id,name,price,description,maker
101,Điện Thoại thông minh,1290000,Hàng chính Hãng nhập Thái Lan,Vsmart
102,Điện Thoại thông minh,2740000,Hàng chính Hãng nhập Thái Lan,Xiaomi
103,Điện Thoại thông minh,9990000,Hàng chính Hãng nhập Thái Lan,Samsung
104,Điện Thoại thông minh,28990000,Hàng chính Hãng nhập Thái Lan,Apple
105,Điện Thoại thông minh,770000,Hàng chính Hãng nhập Thái Lan,Vsmart
106,Điện Thoại thông minh,1430000,Hàng chính Hãng nhập Thái Lan,Vsmart
107,Điện Thoại thông minh,1070000,Hàng chính Hãng nhập Thái Lan,Vsmart
108,Điện Thoại thông minh,1850000,Hàng chính Hãng nhập Thái Lan,Vsmart
109,Điện Thoại thông minh,3750000,Hàng chính Hãng nhập Thái Lan,Realme
110,Điện Thoại thông minh,2400000,Hàng chính Hãng nhập Thái Lan,Kindle
111,Điện Thoại thông minh,8690000,Hàng chính Hãng nhập Thái Lan,Apple
112,Điện Thoại thông minh,5990000,Hàng chính Hãng nhập Thái Lan,Samsung
113,Điện Thoại thông minh,1980000,Hàng chính Hãng nhập Thái Lan,Xiaomi
114,Điện Thoại thông minh,3450000,Hàng chính Hãng nhập Thái Lan,Vsmart
115,Điện Thoại thông minh,1810000,Hàng chính Hãng nhập Thái Lan,Samsung
116,Điện Thoại thông minh,7590000,Hàng chính Hãng nhập Thái Lan,Samsung
117,Điện Thoại thông minh,4790000,Hàng chính Hãng nhập Thái Lan,Samsung
118,Smartphone,16480000,Hàng chính Hãng nhập Thái Lan,Samsung
119,Smartphone,1450000,Hàng chính Hãng nhập Thái Lan,Nokia
120,Smartphone,3390000,Hàng chính Hãng nhập Thái Lan,Xiaomi
121,Smartphone,2450000,Hàng chính Hãng nhập Thái Lan,Kindle
122,Smartphone,4590000,Hàng chính Hãng nhập Thái Lan,Xiaomi
123,Smartphone,4790000,Hàng chính Hãng nhập Thái Lan,Xiaomi
124,Smartphone,3290000,Hàng chính hãng nhập Nhật Bản,Vsmart
125,Smartphone,5290000,Hàng chính hãng nhập Nhật Bản,Xiaomi
126,Smartphone,3990000,Hàng chính hãng nhập Nhật Bản,Vsmart
127,Smartphone,19990000,Hàng chính hãng nhập Nhật Bản,Apple
128,Smartphone,3290000,Hàng chính hãng nhập Nhật Bản,Samsung
129,Smartphone,10690000,Hàng chính hãng nhập Nhật Bản,Apple
130,Smartphone,1049000,Hàng chính hãng nhập Nhật Bản,Masstel
131,Smartphone,2250000,Hàng chính hãng nhập Nhật Bản,Samsung
132,Smartphone,2190000,Hàng chính hãng nhập Nhật Bản,Kindle
133,Smartphone,10499000,Hàng chính hãng nhập Nhật Bản,Apple
134,Smartphone,1990000,Hàng chính hãng nhập Nhật Bản,Xiaomi
135,Smartphone,12890000,Hàng chính hãng nhập Nhật Bản,Apple
136,Smartphone,3690000,Hàng chính hãng nhập Nhật Bản,Samsung
137,Smartphone,2990000,Hàng chính hãng nhập Nhật Bản,OPPO
138,Smartphone,21990000,Hàng chính hãng nhập Nhật Bản,Apple
139,Smartphone,19490000,Hàng chính hãng nhập Nhật Bản,Apple
140,Smartphone,350000,Hàng chính hãng nhập Nhật Bản,Nokia
141,Smartphone,2290000,Hàng chính hãng nhập Nhật Bản,OPPO
142,Smartphone,3390000,Hàng chính hãng nhập Nhật Bản,Realme
143,Smartphone,335000,Hàng chính hãng nhập Nhật Bản,Nokia
144,Smartphone,4950000,Hàng chính hãng nhập Nhật Bản,OPPO
145,Smartphone,22990000,Hàng chính hãng nhập Nhật Bản,Apple
146,Smartphone,4699000,Hàng chính hãng nhập Nhật Bản,Samsung
147,Smartphone,1729000,Hàng chính hãng nhập Nhật Bản,Kindle
148,Smartphone,2590000,Hàng chính hãng nhập Nhật Bản,Vivo
149,Máy xay sinh tố,329000,Hàng chính hãng nhập Nhật Bản,Lock&Lock
150,Máy xay sinh tố,3349000,Hàng chính hãng nhập Nhật Bản,Philips
151,Máy xay sinh tố,1439000,Hàng chính hãng nhập Nhật Bản,Mitsubishi
152,Máy xay sinh tố,4799000,Hàng chính hãng nhập Nhật Bản,Panasonic
153,Máy xay sinh tố,162000,Hàng chính hãng nhập Nhật Bản,OEM
154,Máy xay sinh tố,749000,Hàng chính hãng nhập Nhật Bản,Lock&Lock
155,Máy xay sinh tố,2393000,Hàng chính hãng nhập Nhật Bản,Lock&Lock
156,Máy xay sinh tố,4900000,Hàng chính hãng nhập Nhật Bản,ible
157,Máy xay sinh tố,1390000,Hàng chính hãng nhập Nhật Bản,Lock&Lock
158,Máy xay sinh tố,1999000,Hàng chính hãng nhập Nhật Bản,Perfect
159,Máy giắt,29000,Hàng chính hãng nhập Nhật Bản,OEM
160,Máy giắt,474000,Hàng chính hãng nhập Nhật Bản,Masuto
161,Máy giắt,1999000,Hàng chính hãng nhập Nhật Bản,Joyoung
162,Máy giắt,3900000,Hàng chính hãng nhập Nhật Bản,Lock&Lock
163,Máy giắt,2399000,Hàng chính hãng nhập Nhật Bản,Lock&Lock
164,Máy giắt,8550000,Hàng chính hãng nhập Nhật Bản,Ebraco
165,Máy giắt,3479000,Hàng chính hãng nhập Nhật Bản,Philips
166,Máy giắt,259000,Hàng chính hãng nhập Nhật Bản,Comet
